,asin,productTitle,primaryCategory,secondaryCategory,brand,price,itemModelNumber,imageURLHighRes,ranking,productDimensions,shippingWeight,domesticShipping,internationalShipping,discontinuedByManufacturer,batteries
409,B01AHOFXX2,"Organics Color Protect Conditioner, Fig, 10.0 fl. oz.",Beauty & Personal Care,Luxury Beauty,Juice,9.99,,"['https://images-na.ssl-images-amazon.com/images/I/41jtaqjMIkL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41aN-Erqf5L.jpg']","153,840",7.9 x 5.9 x 3.9 inches ; 10.4 ounces,12 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
410,B01A982YRO,Laszlo White Marble Translucence Cream,Beauty & Personal Care,Luxury Beauty,Erno,115.00,102833991,"['https://images-na.ssl-images-amazon.com/images/I/41UaxZw7MnL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/514nCOsck5L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41kdaIrArdL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31nffPNpO3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41tmBwNt4wL.jpg']","218,894",2.4 x 3.1 x 3.1 inches ; 10.4 ounces,10.6 ounces,,,,
411,B0019V5JM8,"Ciminelli Cleansing Milk, 8 Fl Oz",Beauty & Personal Care,Luxury Beauty,Susan,60.00,,"['https://images-na.ssl-images-amazon.com/images/I/3124xMekHZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ExN3qE-jL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31XcSQ4blWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31i4RWGKoFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31EJmPx%2BApL.jpg']","958,045",2.2 x 2.2 x 5.5 inches,12 ounces,,,,
412,B00N8KCCEQ,Double Edge Razor,Beauty & Personal Care,Luxury Beauty,eShave,23.21,72001,"['https://images-na.ssl-images-amazon.com/images/I/318PaXAm%2BVL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41tLT4vzpOL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31o6O8O2-WL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21PNCFBnBLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21RIq0zdbuL.jpg']","1,536,577",2.2 x 1.2 x 1 inches ; 4 ounces,0.3 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
413,B01GSLYK78,"House  Home True Liquid Body Soap, Mint Tisane, 12 Fl Oz",Beauty & Personal Care,Luxury Beauty,LAFCO,,HBW41,['https://via.placeholder.com/250?text=Image+Not+Available'],"1,286,022",2.5 x 2.5 x 7 inches,12 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
414,B0073FV5RM,"Well-Being Shampoo, 8.45 fl. oz.",Beauty & Personal Care,Luxury Beauty,Davines,29.00,Davines Well-Being shampoo,"['https://images-na.ssl-images-amazon.com/images/I/41EMwVPxgSL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31SedWC9pSL.jpg']","127,169",2.5 x 2.5 x 1 inches,4 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
415,B004R7N5WM,Heat Is On Protective Daily Primer,Beauty & Personal Care,Luxury Beauty,blowpro,11.00,,"['https://images-na.ssl-images-amazon.com/images/I/31YnrsO3LhL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/310vO4tXUOL.jpg']","564,847",1.4 x 1.4 x 4.5 inches,2.4 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
416,B01ET90ZG6,"Pro-Collagen Neck and D&eacute;collet&eacute; Balm, Anti-wrinkle Neck Balm, 0.5 fl. oz",Beauty & Personal Care,Luxury Beauty,ELEMIS,,50711,"['https://images-na.ssl-images-amazon.com/images/I/41zrF1oAnaL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/2127mtxnCWL.jpg']","787,329",3.5 x 1.5 x 3.5 inches ; 1.6 ounces,2.9 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
417,B0072O1S4Y,neuControl Firm Hair Spray,Beauty & Personal Care,Luxury Beauty,NEUMA,20.82,1411,"['https://images-na.ssl-images-amazon.com/images/I/41yXQ0RYlHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31yUyLP9uOL.jpg']","44,114",8.2 x 1.8 x 9.6 inches ; 6.1 ounces,2 pounds,"Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.",This item is not eligible for international shipping.,,
418,B001O51GUI,Infinite Shine,Beauty & Personal Care,Luxury Beauty,OPI,12.50,ISL29,"['https://images-na.ssl-images-amazon.com/images/I/412Kf0Ax%2BTL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/319gsUCakpL.jpg']","178,817",1.3 x 1 x 3.2 inches,2.4 ounces,"Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.",This item is not eligible for international shipping.,,
419,B00WGZOQIE,"Volumizing Mousse, 8 fl. oz.",Beauty & Personal Care,Luxury Beauty,RUSK,18.00,IRVM8E,"['https://images-na.ssl-images-amazon.com/images/I/41%2BveekIs8L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Xca7jLR0L.jpg']","177,589",2.1 x 2.1 x 8.3 inches ; 8 ounces,12 ounces,"Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.",This item is not eligible for international shipping.,,
420,B014AH60PW,"Botanical Scalp  Hair Treatment | Helps Slow Chronic Hair Thinning, Women  Men | Drug-Free, Hormone-Free, Paraben Free, Sulfate Free, Gluten Free | Stronger Hair, Healthy Hair Growth",Beauty & Personal Care,Luxury Beauty,PHYTOLOGIST,95.00,PHTPHTF36000514,"['https://images-na.ssl-images-amazon.com/images/I/315tJ8WkEwL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31j6h2cAt1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51IRP0qFEnL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61nS4QG9N3L.jpg']","110,699",1.6 x 0.8 x 0.8 inches ; 9.9 ounces,1 pounds,,,,
421,B007HU3D50,Sensories Bright Chamomile and Lavender Brightening Conditioner 250ml/8.5oz,Beauty & Personal Care,Luxury Beauty,Rusk,,,['https://via.placeholder.com/250?text=Image+Not+Available'],"1,132,370",,10.4 ounces,,,,
422,B0026341ZO,Rodial Boob Job Tube-120ml,Beauty & Personal Care,Luxury Beauty,,83.48,,['https://via.placeholder.com/250?text=Image+Not+Available'],"623,616",,1.6 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
423,B00B5PELAY,Turbo Ceramic Round Boar Brush,Beauty & Personal Care,Luxury Beauty,CHI,21.00,,['https://images-na.ssl-images-amazon.com/images/I/318dijKBX6L.jpg'],"115,503",9.4 x 2.9 x 2.9 inches,4.8 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
424,B00JQWP54E,"Lasting Results (Moisturizer with SPF 50), 2.5 fl oz",Beauty & Personal Care,Luxury Beauty,PRESCRIBEDsolutions,55.00,B00JQWP54E,['https://via.placeholder.com/250?text=Image+Not+Available'],"452,798",1.6 x 1.6 x 4.4 inches,1.6 ounces,,,,
425,B00D13IM8U,Shellac Offly Fast Remover 7.5oz,Beauty & Personal Care,Luxury Beauty,CND,,CNDV0148,['https://via.placeholder.com/250?text=Image+Not+Available'],"226,944",0.8 x 0.8 x 3.9 inches,7 ounces,,,,
426,B01CVTFI1I,Hair Texture Dry Wax Matte Finishing Mist,Beauty & Personal Care,Luxury Beauty,AG,9.95,,"['https://images-na.ssl-images-amazon.com/images/I/41Skk9gbKHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31tPTak82ZL.jpg']","44,828",1.4 x 1.4 x 5 inches,2.4 ounces,,,,
427,B00021UR3C,"Tea by Elizabeth Arden, 1.5 Ounce",Beauty & Personal Care,Luxury Beauty,Green,12.00,4457400,"['https://images-na.ssl-images-amazon.com/images/I/31b%2BzxiZrfL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21UGk3k2PfL.jpg']","17,221",4.1 x 1.4 x 1.5 inches ; 1 pounds,2.9 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
428,B0161B938Q,"Pomade, 2 Oz",Beauty & Personal Care,Luxury Beauty,GO247,17.50,700371451547,['https://images-na.ssl-images-amazon.com/images/I/51wICaWWRPL.jpg'],"79,734",2.3 x 2.3 x 0.2 inches ; 2.24 ounces,4 ounces,"Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.",This item can be shipped to select countries outside of the U.S.,,
429,B000XVBRPS,"Jealousy Lunatic Fringe Hair Pomade, 3 oz.",Beauty & Personal Care,Luxury Beauty,Billy,16.00,BJ-0246,"['https://images-na.ssl-images-amazon.com/images/I/41U8kGsgxBL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/5113lAiRrBL.jpg']","50,028",2.5 x 2.5 x 1.5 inches ; 2.08 ounces,4 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
430,B001EPQ1LC,"Noodle  Boo French-Milled Baby Soap, Two 3-Ounce Bars (Pack of 2)",Beauty & Personal Care,Luxury Beauty,,,02A-00-00,"['https://images-na.ssl-images-amazon.com/images/I/4102fYWC1fL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51xnpFZMZjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31lAYLYAJaL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41dJcONreHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21bn-l9w8BL.jpg']","857,181",9.3 x 6.1 x 4.8 inches ; 3.04 ounces,3.4 pounds,"Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.",This item is not eligible for international shipping.,,
431,B01G4WNGGM,"Gentle Cleansing Gel, Baby Hair  Body Wash, Plant-Based Formula with Natural Avocado Perseose fortified with Vitamin B5",Beauty & Personal Care,Luxury Beauty,Mustela,3.49,19000A,"['https://images-na.ssl-images-amazon.com/images/I/31B5da1LcaL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Nn15RZseL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51jz4K1A%2B-L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31voAb2ZqjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51cJWbKCIhL.jpg']","55,115",1.1 x 1.6 x 5.4 inches,5 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
432,B004W2TCRO,"Normant Meta Sheer Finishing Oil ,1.7 Fl Oz",Beauty & Personal Care,Luxury Beauty,Serge,25.00,,"['https://images-na.ssl-images-amazon.com/images/I/312B1sl7NIL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31oPT-WOeSL.jpg']","204,318",1 x 1 x 5 inches,2.4 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
433,B001AC0HPK,"Post-Laser Lotion [Complex Cu3], 4.0 Fl Oz",Beauty & Personal Care,Luxury Beauty,NEOVA,33.00,,"['https://images-na.ssl-images-amazon.com/images/I/21Cn%2BH5RkJL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41PaDR9l7lL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31tj2mtvddL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31EtKc0tNtL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/211gyWQox8L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ylZmwkwUL.jpg']","160,539",5.9 x 1.5 x 1.5 inches,0.8 ounces,,,,
434,B01DSY7P3E,"Cosmetic Laboratories Multi-Action Penta Peel, 50 Count",Beauty & Personal Care,Luxury Beauty,Dermatologic,,250023,"['https://images-na.ssl-images-amazon.com/images/I/51bfigtMgVL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41YzGBs7gCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51X4duM-SiL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31V1txciX-L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51SuNqj1sUL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/515RyL9X2tL.jpg']","735,563",3.4 x 3.4 x 3.4 inches,9.6 ounces,,,,
435,B005H0PXK0,"+ Goetz Mojito Lip Balm, 0.3 fluid ounce",Beauty & Personal Care,Luxury Beauty,Malin,14.00,B005H0PXK0,"['https://images-na.ssl-images-amazon.com/images/I/415GXJ616bL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21AUBr6HkjL.jpg']","28,499",2.2 x 1.2 x 1.2 inches ; 0.96 ounces,1.6 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
436,B00IZAHH5S,Bebe Range Dermo-Cleansing - 16.9 oz - 2 pk,Beauty & Personal Care,Luxury Beauty,Mustela,,,['https://via.placeholder.com/250?text=Image+Not+Available'],"947,935",,nan,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
437,B00EH61LRO,"Leg Formula, 4.23 oz",Beauty & Personal Care,Luxury Beauty,Tired,,,"['https://images-na.ssl-images-amazon.com/images/I/319ocs0TdFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31BZjbETbvL.jpg']","885,803",1.8 x 1.8 x 6.5 inches ; 4.2 ounces,6.4 ounces,"Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.",This item is not eligible for international shipping.,,
438,B002Q7K820,"Spateen Blemished Skin Toner, 4 Fl Oz",Beauty & Personal Care,Luxury Beauty,Pevonia,18.00,2702,"['https://images-na.ssl-images-amazon.com/images/I/414gMYYhPXL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31P5YQL27dL.jpg']","336,848",2 x 2 x 4.8 inches ; 4 ounces,4 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
439,B002CLZ6U4,"Associates Renewing Rose Body Oil, 3.4 Fl Oz",Beauty & Personal Care,Luxury Beauty,Aromatherapy,68.00,RN620100R,"['https://images-na.ssl-images-amazon.com/images/I/21qhFskT4KL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/318aMpT1B7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31sU8yUE8XL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31-fq6JLT3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31yz318XxmL.jpg']","226,552",2 x 1.8 x 7.8 inches,4.8 ounces,,,,
440,B00GB2CMCU,"Roma Sicilian Light Gommage Moisturizer, 2.5  Fl Oz",Beauty & Personal Care,Luxury Beauty,SKIN&amp;CO,,60403,"['https://images-na.ssl-images-amazon.com/images/I/41dHt%2Bq3WQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41tpCo6z6fL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41l8gQH7SWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Kbis6lD%2BL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415nWqebM3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31-WNCpR0sL.jpg']","1,324,641",1.8 x 1.8 x 6.2 inches,3.2 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
441,B001PE47ZY,"Age Defense Environmental Response Cream, 1.7 fl. oz.",Beauty & Personal Care,Luxury Beauty,Zirh,,400887,"['https://images-na.ssl-images-amazon.com/images/I/41pYzu4CY1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51KTxVPe5kL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51C4PpycR8L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31rDKAQK%2BQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51aiECymUcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61xUNCG-ADL.jpg']","870,604",2 x 2.5 x 2.2 inches ; 4.8 ounces,5 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,Yes
442,B00SH8Z872,Borba Anti-Fatigue Invisible Corrective Concealer Anti-Wrinkle CC Cream,Beauty & Personal Care,Luxury Beauty,Scott-Vincent,35.00,,"['https://images-na.ssl-images-amazon.com/images/I/41HGpuNw%2B6L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61Dfoco-G7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61yTzOjJHxL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31N1h8o%2BNXL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ajotXfCAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51jskEMjiYL.jpg']","937,534",6.8 x 3.5 x 1.1 inches ; 0.32 ounces,0.3 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
443,B00VWKJN1Y,"Johnson Martha Large Cosmetic Case, Nevis Multi",Beauty & Personal Care,Luxury Beauty,Stephanie,,,"['https://images-na.ssl-images-amazon.com/images/I/51PM1b-q5aL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41yv8ytf%2B6L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51YmPOer%2BqL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/416L8Cth8YL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31T9rwVbd2L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41xqxait%2BEL.jpg']","1,303,617",10.5 x 3.5 x 9 inches ; 1.12 ounces,1.1 pounds,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
444,B00A4P60B4,"Time To Shine 3-D Illuminating Mist, 4 fl. oz.",Beauty & Personal Care,Luxury Beauty,blowpro,14.89,,"['https://images-na.ssl-images-amazon.com/images/I/41E-tNSVgcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31f0wbOwBHL.jpg']","521,183",1.6 x 1.6 x 1.8 inches,1.6 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
445,B01EKD94JA,Acne Treatment Spray (Back  Chest) 8 oz,Beauty & Personal Care,Luxury Beauty,Glytone,,,['https://via.placeholder.com/250?text=Image+Not+Available'],"555,190",,10.4 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
446,B003QJIODW,"Infra Texture Dual Hair Spray , 2.6 oz",Beauty & Personal Care,Luxury Beauty,CHI,6.50,CHI0640,"['https://images-na.ssl-images-amazon.com/images/I/31bj2OhQT9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31bsEjAaHeL.jpg']","197,275",1.2 x 1.2 x 4 inches,3.2 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
447,B001RVJIP4,Specialty Exfoliators Skin Buff-50 ml,Beauty & Personal Care,Luxury Beauty,Elemis,,255,['https://via.placeholder.com/250?text=Image+Not+Available'],"706,516",6.1 x 2.4 x 1.5 inches ; 1.76 ounces,2.9 ounces,,,,
448,B016B8MBTW,Libre d'Orange Remarkable People Eau de Parfum Spray 3.38 fl oz.,Beauty & Personal Care,Luxury Beauty,Etat,149.00,RMK100,['https://via.placeholder.com/250?text=Image+Not+Available'],"262,315",2.5 x 2.5 x 6 inches ; 3.36 ounces,3.4 pounds,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
449,B009FKGDHU,Cr&egrave;me Fra&icirc;che de Beaut&eacute; 24HR Soothing and Moisturizing Cream,Beauty & Personal Care,Luxury Beauty,NUXE,,3264680005312,"['https://images-na.ssl-images-amazon.com/images/I/51NvFHbnegL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61D4ndP%2BJ%2BL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Qf4tL%2BQwL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61YpqKkFL1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61IAl%2BYVKJL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31m9FVIssHL.jpg']","435,140",4 x 1 x 1 inches ; 1.44 ounces,4.2 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
450,B000G837DS,"Dry Skin Cleanser, 6.8 Fl Oz",Beauty & Personal Care,Luxury Beauty,Pevonia,29.50,1010-11,"['https://images-na.ssl-images-amazon.com/images/I/31sjkrLp67L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31mzaBEO34L.jpg']","48,932",2 x 2.5 x 7.3 inches ; 6.9 ounces,8.5 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
451,B00I3IHXZQ,Silicone Cleaning Spray 60mL,Beauty & Personal Care,Luxury Beauty,FOREO,9.90,F0475,"['https://images-na.ssl-images-amazon.com/images/I/11yAq3aem-L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41-3DbXEX6L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31X3R4cqkNL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21Tkh4q%2B0uL.jpg']","1,728",1.4 x 5.2 x 1.4 inches ; 2.88 ounces,3.2 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
452,B004VR1FO8,"MD Lip 20 Moisture Therapy plus Sunscreen SPF 20- Peach, 0.11 oz.",Beauty & Personal Care,Luxury Beauty,KAPLAN,,Kap-4013,"['https://images-na.ssl-images-amazon.com/images/I/31j39S%2ByY-L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41739hxI8vL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/215TXdMU2zL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/419wZJlpSML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/516anFdxH5L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/5128chiomrL.jpg']","740,812",3.5 x 1.1 x 1.1 inches,1.6 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
453,B00CO1O2I4,"Filorga Paris Sleep-Recover Anti-Fatigue Night Balm, 1.69 fl. oz.",Beauty & Personal Care,Luxury Beauty,Laboratoires,,5449733,"['https://images-na.ssl-images-amazon.com/images/I/31Wjt7IDYPL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Z%2BkzCgLmL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31n79KT7OML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31kbdEq9KoL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/418ZdELGe1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41QGvKUceNL.jpg']","816,914",1.8 x 1.8 x 6.3 inches ; 5.1 ounces,3.5 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
454,B00CU744L2,"Liquid Chisel Makeup Brush, 4 Inch",Beauty & Personal Care,Luxury Beauty,P&Uuml;R,23.00,37003630,['https://via.placeholder.com/250?text=Image+Not+Available'],"327,638",0.5 x 2 x 7.4 inches,1.6 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
455,B00EAPLENS,"Crystal Inspiration Eye Jewel Aqueous Transparent, 1 Oz",Beauty & Personal Care,Luxury Beauty,ZENSATION,,B00EAPLENS,"['https://images-na.ssl-images-amazon.com/images/I/41KIjbw%2BKEL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51p11WmPJnL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41%2BIxR1lWEL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31m-AOkDjlL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41PPNgw32mL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51cfhnoPRwL.jpg']","1,648,433",2.5 x 2.5 x 1.9 inches ; 4.8 ounces,4.8 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
456,B00JI7AI3A,"Skincare D.E.J. Eye Cream, 0.5 oz",Beauty & Personal Care,Luxury Beauty,Revision,97.00,2512,"['https://images-na.ssl-images-amazon.com/images/I/3108mcgLbyL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31emv4p4qUL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31SvR%2BY2RtL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31yctwpUOPL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Hobe4Fn8L.jpg']","9,364",1.3 x 1.3 x 4.9 inches,0.3 ounces,"Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.",This item can be shipped to select countries outside of the U.S.,,
457,B01BL8720K,"Skin Freshener, to Freshen Skin and Style Hair, for Baby, with Natural Avocado Perseose, 6.76 Fl. Oz.",Beauty & Personal Care,Luxury Beauty,Mustela,9.00,MUSMUSC73028244,"['https://images-na.ssl-images-amazon.com/images/I/31ADVrlaf3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31BbvTGGYhL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31bscMGx2sL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51jz4K1A%2B-L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/213NAk-5t9L.jpg']","10,744",2.3 x 1.7 x 8.4 inches,8 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
458,B001GAOVIU,"L&#39;Occitane Immortelle Very Precious Fluid SPF40, 1 fl. oz.",Beauty & Personal Care,Luxury Beauty,,,,['https://via.placeholder.com/250?text=Image+Not+Available'],"2,073,066",6 x 5 x 4 inches,2.4 ounces,"Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.",This item is not eligible for international shipping.,,
459,B00K6IOALQ,Skincare Age-Defying Exfoliating Pads,Beauty & Personal Care,Luxury Beauty,Radical,60.00,897,"['https://images-na.ssl-images-amazon.com/images/I/41l9-BeRoUL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61oQYJgKh%2BL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/514HSK5l-gL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jwa6iG9aL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31yNXQxVPvL.jpg']","94,915",3.5 x 3.5 x 3 inches ; 3.2 ounces,1.1 pounds,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
460,B000VXMO7I,"Thermasmooth Shine Extend Anti-Frizz Spray, 3.0 fl. oz.",Beauty & Personal Care,Luxury Beauty,MIZANI,20.00,U-HC-2652,"['https://images-na.ssl-images-amazon.com/images/I/31vcrOW5vvL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31ANvDmz8RL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21pEytV%2BsSL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21wlHDvV-yL.jpg']","42,587",1.4 x 1.4 x 6 inches,0.3 ounces,,,,
461,B01A5OLYPA,Eco Precision 2-Tone Brow Pencil Refill,Beauty & Personal Care,Luxury Beauty,BrowFood,,,"['https://images-na.ssl-images-amazon.com/images/I/31H067BBX8L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41cISMGGOEL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/216%2BSpxiWrL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41d1G9PA5hL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/317WqNlu0aL.jpg']","1,272,957",3.6 x 0.2 x 5 inches,0.3 ounces,"Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.",This item is not eligible for international shipping.,,
